INFO 2024-11-12 13:46:40,197 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2024-11-12 13:46:40,198 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2024-11-12 13:46:40,198 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2024-11-12 13:46:44,374 "GET /subject/list/ HTTP/1.1" 200 11397
INFO 2024-11-12 13:46:50,240 "GET /class/list/ HTTP/1.1" 200 11410
INFO 2024-11-12 13:46:53,837 "GET /class/1/update/ HTTP/1.1" 200 9824
INFO 2024-11-12 13:47:02,747 "POST /class/1/update/ HTTP/1.1" 302 0
INFO 2024-11-12 13:47:02,973 "GET /class/list/ HTTP/1.1" 200 11557
INFO 2024-11-12 13:47:05,153 "GET /class/2/update/ HTTP/1.1" 200 9824
INFO 2024-11-12 13:47:14,910 "POST /class/2/update/ HTTP/1.1" 302 0
INFO 2024-11-12 13:47:15,065 "GET /class/list/ HTTP/1.1" 200 11565
INFO 2024-11-12 13:47:29,771 "POST /class/create/ HTTP/1.1" 302 0
INFO 2024-11-12 13:47:29,940 "GET /class/list/ HTTP/1.1" 200 11856
INFO 2024-11-12 13:47:36,468 "GET /site-config HTTP/1.1" 200 10862
INFO 2024-11-12 13:47:39,928 "GET / HTTP/1.1" 200 9290
INFO 2024-11-12 13:47:44,639 "GET /staff/list/ HTTP/1.1" 200 9687
INFO 2024-11-12 13:47:46,529 "GET /staff/create/ HTTP/1.1" 200 12596
INFO 2024-11-12 13:48:44,918 "POST /staff/create/ HTTP/1.1" 302 0
INFO 2024-11-12 13:48:45,080 "GET /staff/1/ HTTP/1.1" 200 10832
INFO 2024-11-12 13:48:45,187 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 304 0
INFO 2024-11-12 13:48:45,189 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 304 0
INFO 2024-11-12 13:48:50,577 "GET /student/list HTTP/1.1" 200 9946
INFO 2024-11-12 13:48:54,302 "GET /staff/list/ HTTP/1.1" 200 9905
INFO 2024-11-12 13:49:10,213 "GET /student/list HTTP/1.1" 200 9946
INFO 2024-11-12 13:49:13,983 "GET /student/create/ HTTP/1.1" 200 13672
INFO 2024-11-12 13:49:14,040 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2024-11-12 13:49:14,050 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2024-11-12 13:49:14,051 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2024-11-12 13:49:14,053 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2024-11-12 13:49:14,053 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2024-11-12 13:49:14,054 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2024-11-12 13:49:14,054 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2024-11-12 13:49:14,056 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2024-11-12 13:49:14,060 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2024-11-12 13:49:14,060 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2024-11-12 13:49:14,061 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2024-11-12 13:49:20,077 "GET /student/list HTTP/1.1" 200 9946
INFO 2024-11-12 13:49:44,963 "GET /result/view/all HTTP/1.1" 200 8834
INFO 2024-11-12 13:49:46,921 "GET /student/list HTTP/1.1" 200 9946
INFO 2024-11-12 13:49:49,277 "GET /staff/list/ HTTP/1.1" 200 9905
INFO 2024-11-12 13:49:58,783 "GET /accounts/logout/ HTTP/1.1" 302 0
INFO 2024-11-12 13:49:58,796 "GET / HTTP/1.1" 302 0
INFO 2024-11-12 13:49:58,869 "GET /accounts/login/?next=/ HTTP/1.1" 200 3981
INFO 2024-11-12 13:49:58,948 "GET /static/dist/css/login-page.css HTTP/1.1" 304 0
INFO 2024-11-12 13:49:58,949 "GET /static/dist/img/login.png HTTP/1.1" 304 0
INFO 2024-11-12 14:20:22,738 Watching for file changes with StatReloader
INFO 2024-11-12 14:20:32,387 "GET /accounts/login/?next=/ HTTP/1.1" 200 6494
INFO 2024-11-12 14:20:32,428 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2024-11-12 14:20:32,445 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2024-11-12 14:20:32,445 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2024-11-12 14:20:32,446 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2024-11-12 14:20:32,449 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2024-11-12 14:20:32,451 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2024-11-12 14:20:32,455 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2024-11-12 14:20:32,459 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2024-11-12 14:20:32,460 "GET /static/dist/css/login-page.css HTTP/1.1" 304 0
INFO 2024-11-12 14:20:32,464 "GET /static/dist/img/login.png HTTP/1.1" 304 0
INFO 2024-11-12 14:20:32,466 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2024-11-12 14:20:32,468 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2024-11-12 14:20:32,499 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 0
INFO 2024-11-12 14:20:32,509 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2024-11-12 14:20:33,947 "GET /accounts/login/?next=/ HTTP/1.1" 200 6494
